[2m2026-04-27T17:49:28.919011Z[0m [32m INFO[0m printing Groth16 layout profiles for All
family	id	label	term_count	public_input_count	elapsed_ms	rows	column_queries	k	table_rows	max_degree	advice_columns	fixed_columns	lookups	permutations	point_sets
blocks	bn254_miller_loop_narrow	bn254 miller loop narrow			21261	457060	58	19	417	5	15	37	4	18	4
blocks	bn254_final_exponentiation_easy_part	bn254 final exponentiation easy part			586	12288	58	14	417	5	15	37	4	18	4
blocks	bn254_final_exponentiation_hard_part	bn254 final exponentiation hard part			23166	492083	58	19	417	5	15	37	4	18	4
blocks	bn254_final_exponentiation	bn254 final exponentiation			24907	505391	58	19	417	5	15	37	4	18	4
blocks	bn254_pairing_check_groth16_style	bn254 pairing check groth16-style (1 variable + 3 prepared)	4	1	91703	1867209	94	21	417	5	20	60	8	24	4
blocks	bn254_pairing_check_sample_2_terms	bn254 pairing check sample	2		81125	1600495	94	21	417	5	20	60	8	24	4
groth16	groth16_fixture_verifier_total	groth16 fixture verifier total		1	94929	1867321	94	21	417	5	20	60	8	24	4
groth16	groth16_fixture_vk_x_accumulator	groth16 fixture vk_x accumulator		1	10	40	58	9	385	5	15	37	4	18	4
groth16	groth16_pairing_check_proxy_4_terms	groth16 pairing check 4-term proxy	4		95537	1867209	94	21	417	5	20	60	8	24	4
outer	outer_wrapper_circom_multiplier2_end_to_end_bn254_host	outer wrapper circom_multiplier2 end-to-end (bn254 host)	4	1	115883	1867321	96	21	417	5	21	61	8	25	4
outer	outer_wrapper_circom_multiplier2_end_to_end_bls12_381_host	outer wrapper circom_multiplier2 end-to-end (bls12-381 host)	4	1	176824	1867321	96	21	417	5	21	61	8	25	4
outer	outer_wrapper_semaphore_end_to_end_bn254_host	outer wrapper semaphore end-to-end (bn254 host)	4	4	222812	1867321	96	21	417	5	21	61	8	25	4
outer	outer_wrapper_semaphore_end_to_end_bls12_381_host	outer wrapper semaphore end-to-end (bls12-381 host)	4	4	230280	1867321	96	21	417	5	21	61	8	25	4
pairing_terms	pairing_check_terms_1	pairing check term scaling	1		183563	1164537	94	21	417	5	20	60	8	24	4
pairing_terms	pairing_check_terms_2	pairing check term scaling	2		214854	1398761	94	21	417	5	20	60	8	24	4
pairing_terms	pairing_check_terms_3	pairing check term scaling	3		244826	1632985	94	21	417	5	20	60	8	24	4
pairing_terms	pairing_check_terms_4	pairing check term scaling	4		208543	1867209	94	21	417	5	20	60	8	24	4
public_inputs	groth16_ic_accumulator_public_inputs_1	groth16 ic accumulator public-input scaling		1	20	40	58	9	385	5	15	37	4	18	4
public_inputs	groth16_ic_accumulator_public_inputs_2	groth16 ic accumulator public-input scaling		2	22	40	58	9	385	5	15	37	4	18	4
public_inputs	groth16_ic_accumulator_public_inputs_4	groth16 ic accumulator public-input scaling		4	26	40	58	9	385	5	15	37	4	18	4
public_inputs	groth16_ic_accumulator_public_inputs_8	groth16 ic accumulator public-input scaling		8	37	40	58	9	385	5	15	37	4	18	4
public_inputs	groth16_ic_accumulator_public_inputs_16	groth16 ic accumulator public-input scaling		16	54	40	58	9	385	5	15	37	4	18	4
